ninja: Entering directory `C:\Users\tanuj\OneDrive\Desktop\ether-vpn\openvpn\.cxx\Debug\3l54y586\arm64-v8a'
[1/1047] Building C object CMakeFiles/crypto.dir/openssl/providers/implementations/ciphers/cipher_tdes.c.o
[2/1047] Building C object CMakeFiles/crypto.dir/openssl/providers/implementations/ciphers/cipher_aria.c.o
[3/1047] Building C object CMakeFiles/crypto.dir/openssl/providers/implementations/ciphers/cipher_desx_hw.c.o
[4/1047] Building C object CMakeFiles/crypto.dir/openssl/providers/implementations/ciphers/cipher_aria_hw.c.o
[5/1047] Building C object CMakeFiles/crypto.dir/openssl/providers/implementations/ciphers/cipher_aes_siv.c.o
[6/1047] Building C object CMakeFiles/crypto.dir/openssl/providers/implementations/ciphers/cipher_aes_xts.c.o
[7/1047] Building C object CMakeFiles/crypto.dir/openssl/providers/implementations/ciphers/ciphercommon_ccm.c.o
[8/1047] Building C object CMakeFiles/crypto.dir/openssl/providers/implementations/ciphers/cipher_aes_ocb.c.o
[9/1047] Building C object CMakeFiles/crypto.dir/openssl/providers/implementations/ciphers/cipher_aes_ccm_hw.c.o
[10/1047] Building C object CMakeFiles/crypto.dir/openssl/providers/implementations/ciphers/cipher_chacha20_poly1305_hw.c.o
[11/1047] Building C object CMakeFiles/crypto.dir/openssl/providers/implementations/ciphers/ciphercommon_ccm_hw.c.o
[12/1047] Building C object CMakeFiles/crypto.dir/openssl/providers/implementations/ciphers/cipher_aes_gcm.c.o
[13/1047] Building C object CMakeFiles/crypto.dir/openssl/providers/implementations/ciphers/cipher_aes_hw.c.o
[14/1047] Building C object CMakeFiles/crypto.dir/openssl/providers/implementations/ciphers/cipher_tdes_common.c.o
[15/1047] Building C object CMakeFiles/crypto.dir/openssl/providers/implementations/ciphers/cipher_aes_ocb_hw.c.o
[16/1047] Building C object CMakeFiles/crypto.dir/openssl/providers/implementations/ciphers/cipher_aes_ccm.c.o
[17/1047] Building C object CMakeFiles/crypto.dir/openssl/providers/implementations/ciphers/cipher_des_hw.c.o
[18/1047] Building C object CMakeFiles/crypto.dir/openssl/providers/implementations/ciphers/cipher_sm4.c.o
[19/1047] Building C object CMakeFiles/crypto.dir/openssl/providers/implementations/ciphers/cipher_cts.c.o
[20/1047] Building C object CMakeFiles/crypto.dir/openssl/providers/implementations/ciphers/ciphercommon.c.o
[21/1047] Building C object CMakeFiles/crypto.dir/openssl/providers/implementations/ciphers/cipher_sm4_hw.c.o
[22/1047] Building C object CMakeFiles/crypto.dir/openssl/providers/implementations/ciphers/cipher_rc2_hw.c.o
[23/1047] Building C object CMakeFiles/crypto.dir/openssl/providers/implementations/ciphers/cipher_null.c.o
[24/1047] Building C object CMakeFiles/crypto.dir/openssl/providers/implementations/ciphers/cipher_tdes_default_hw.c.o
[25/1047] Building C object CMakeFiles/crypto.dir/openssl/providers/implementations/ciphers/cipher_tdes_default.c.o
[26/1047] Building C object CMakeFiles/crypto.dir/openssl/providers/implementations/ciphers/cipher_aes_xts_hw.c.o
[27/1047] Building C object CMakeFiles/crypto.dir/openssl/providers/implementations/ciphers/cipher_desx.c.o
[28/1047] Building C object CMakeFiles/crypto.dir/openssl/providers/implementations/ciphers/ciphercommon_gcm.c.o
[29/1047] Building C object CMakeFiles/crypto.dir/openssl/providers/implementations/ciphers/cipher_rc2.c.o
[30/1047] Building C object CMakeFiles/crypto.dir/openssl/providers/implementations/ciphers/cipher_tdes_wrap_hw.c.o
[31/1047] Building C object CMakeFiles/crypto.dir/openssl/providers/implementations/ciphers/ciphercommon_hw.c.o
[32/1047] Building C object CMakeFiles/crypto.dir/openssl/providers/implementations/ciphers/cipher_aria_gcm.c.o
[33/1047] Building C object CMakeFiles/crypto.dir/openssl/providers/implementations/ciphers/cipher_chacha20_hw.c.o
[34/1047] Building C object CMakeFiles/crypto.dir/openssl/providers/implementations/ciphers/cipher_aria_ccm_hw.c.o
[35/1047] Building C object CMakeFiles/crypto.dir/openssl/providers/implementations/ciphers/cipher_aria_gcm_hw.c.o
[36/1047] Building C object CMakeFiles/crypto.dir/openssl/providers/implementations/ciphers/cipher_blowfish.c.o
[37/1047] Building C object CMakeFiles/crypto.dir/openssl/providers/implementations/ciphers/cipher_aes_cbc_hmac_sha256_hw.c.o
[38/1047] Building C object CMakeFiles/crypto.dir/openssl/providers/implementations/ciphers/cipher_chacha20_poly1305.c.o
[39/1047] Building C object CMakeFiles/crypto.dir/openssl/providers/implementations/ciphers/cipher_rc4_hw.c.o
[40/1047] Building C object CMakeFiles/crypto.dir/openssl/providers/implementations/ciphers/cipher_rc4_hmac_md5.c.o
[41/1047] Building C object CMakeFiles/crypto.dir/openssl/providers/implementations/digests/blake2_prov.c.o
[42/1047] Building C object CMakeFiles/crypto.dir/openssl/providers/implementations/ciphers/cipher_aes_siv_hw.c.o
[43/1047] Building C object CMakeFiles/crypto.dir/openssl/providers/implementations/ciphers/cipher_aes_gcm_hw.c.o
[44/1047] Building C object CMakeFiles/crypto.dir/openssl/providers/implementations/ciphers/cipher_aria_ccm.c.o
[45/1047] Building C object CMakeFiles/crypto.dir/openssl/providers/implementations/ciphers/cipher_aes_xts_fips.c.o
[46/1047] Building C object CMakeFiles/crypto.dir/openssl/providers/implementations/digests/md5_prov.c.o
[47/1047] Building C object CMakeFiles/crypto.dir/openssl/providers/implementations/ciphers/cipher_tdes_hw.c.o
[48/1047] Building C object CMakeFiles/crypto.dir/openssl/providers/implementations/digests/md4_prov.c.o
[49/1047] Building C object CMakeFiles/crypto.dir/openssl/providers/implementations/digests/md5_sha1_prov.c.o
[50/1047] Building C object CMakeFiles/crypto.dir/openssl/providers/implementations/digests/blake2s_prov.c.o
[51/1047] Building C object CMakeFiles/crypto.dir/openssl/providers/implementations/digests/blake2b_prov.c.o
[52/1047] Building C object CMakeFiles/crypto.dir/openssl/providers/implementations/digests/digestcommon.c.o
[53/1047] Building C object CMakeFiles/crypto.dir/openssl/providers/implementations/digests/sha3_prov.c.o
[54/1047] Building C object CMakeFiles/crypto.dir/openssl/providers/implementations/digests/sm3_prov.c.o
[55/1047] Building C object CMakeFiles/crypto.dir/openssl/providers/implementations/digests/null_prov.c.o
[56/1047] Building C object CMakeFiles/crypto.dir/openssl/providers/implementations/digests/sha2_prov.c.o
[57/1047] Building C object CMakeFiles/crypto.dir/openssl/providers/implementations/encode_decode/encode_key2ms.c.o
[58/1047] Building C object CMakeFiles/crypto.dir/openssl/providers/implementations/encode_decode/encode_key2blob.c.o
[59/1047] Building C object CMakeFiles/crypto.dir/openssl/providers/implementations/encode_decode/decode_epki2pki.c.o
[60/1047] Building C object CMakeFiles/crypto.dir/openssl/providers/implementations/kdfs/pbkdf2_fips.c.o
[61/1047] Building C object CMakeFiles/crypto.dir/openssl/providers/implementations/encode_decode/decode_der2key.c.o
[62/1047] Building C object CMakeFiles/crypto.dir/openssl/providers/implementations/encode_decode/decode_spki2typespki.c.o
[63/1047] Building C object CMakeFiles/crypto.dir/openssl/providers/implementations/encode_decode/encode_key2text.c.o
[64/1047] Building C object CMakeFiles/crypto.dir/openssl/providers/implementations/encode_decode/decode_msblob2key.c.o
[65/1047] Building C object CMakeFiles/crypto.dir/openssl/providers/implementations/encode_decode/endecoder_common.c.o
[66/1047] Building C object CMakeFiles/crypto.dir/openssl/providers/implementations/kdfs/sshkdf.c.o
[67/1047] Building C object CMakeFiles/crypto.dir/openssl/providers/implementations/kdfs/hkdf.c.o
[68/1047] Building C object CMakeFiles/crypto.dir/openssl/providers/implementations/exchange/ecx_exch.c.o
[69/1047] Building C object CMakeFiles/crypto.dir/openssl/providers/implementations/kdfs/scrypt.c.o
[70/1047] Building C object CMakeFiles/crypto.dir/openssl/providers/implementations/kdfs/krb5kdf.c.o
[71/1047] Building C object CMakeFiles/crypto.dir/openssl/providers/implementations/kdfs/kbkdf.c.o
[72/1047] Building C object CMakeFiles/crypto.dir/openssl/providers/implementations/encode_decode/decode_pvk2key.c.o
